T:22.8°C -- T2:22.7°C -- HR:51.6 17/09/2021 10:38:28
T:23.4°C -- T2:23.3°C -- HR:50.7 17/09/2021 10:38:58
T:23.4°C -- T2:23.4°C -- HR:50.7 17/09/2021 10:39:03
T:23.6°C -- T2:23.5°C -- HR:50.5 17/09/2021 10:39:08
T:23.7°C -- T2:23.6°C -- HR:50.6 17/09/2021 10:39:13
T:23.7°C -- T2:23.7°C -- HR:50.6 17/09/2021 10:39:17
T:23.8°C -- T2:23.8°C -- HR:50.3 17/09/2021 10:39:23
T:23.9°C -- T2:23.9°C -- HR:50.0 17/09/2021 10:39:28
T:24.1°C -- T2:24.1°C -- HR:50.0 17/09/2021 10:39:33
T:24.2°C -- T2:24.1°C -- HR:50.0 17/09/2021 10:39:37
T:24.3°C -- T2:24.3°C -- HR:49.9 17/09/2021 10:39:43
T:24.4°C -- T2:24.4°C -- HR:49.6 17/09/2021 10:39:48
T:24.5°C -- T2:24.5°C -- HR:49.4 17/09/2021 10:39:53
T:24.6°C -- T2:24.6°C -- HR:49.3 17/09/2021 10:39:58
T:24.7°C -- T2:24.7°C -- HR:49.0 17/09/2021 10:40:03
T:24.8°C -- T2:24.8°C -- HR:48.3 17/09/2021 10:40:08
T:24.8°C -- T2:24.8°C -- HR:47.3 17/09/2021 10:40:13
T:24.9°C -- T2:24.9°C -- HR:45.6 17/09/2021 10:40:18
T:25.0°C -- T2:25.0°C -- HR:44.7 17/09/2021 10:40:23
T:25.1°C -- T2:25.1°C -- HR:44.0 17/09/2021 10:40:28
T:25.1°C -- T2:25.1°C -- HR:43.6 17/09/2021 10:40:33
T:25.1°C -- T2:25.1°C -- HR:43.6 17/09/2021 10:40:38
T:25.2°C -- T2:25.2°C -- HR:43.4 17/09/2021 10:40:43
T:25.1°C -- T2:25.1°C -- HR:43.3 17/09/2021 10:40:48
T:25.1°C -- T2:25.1°C -- HR:43.4 17/09/2021 10:40:53
T:25.1°C -- T2:25.1°C -- HR:43.1 17/09/2021 10:40:58
T:25.1°C -- T2:25.1°C -- HR:43.1 17/09/2021 10:41:03
T:25.1°C -- T2:25.1°C -- HR:43.4 17/09/2021 10:41:08
T:25.1°C -- T2:25.1°C -- HR:42.8 17/09/2021 10:41:13
T:25.2°C -- T2:25.2°C -- HR:42.5 17/09/2021 10:41:18
T:25.2°C -- T2:25.2°C -- HR:42.5 17/09/2021 10:41:23
T:25.3°C -- T2:25.3°C -- HR:42.4 17/09/2021 10:41:28
T:25.4°C -- T2:25.4°C -- HR:42.5 17/09/2021 10:41:33
T:25.5°C -- T2:25.5°C -- HR:42.3 17/09/2021 10:41:38
T:25.6°C -- T2:25.6°C -- HR:42.0 17/09/2021 10:41:43
T:25.7°C -- T2:25.7°C -- HR:41.8 17/09/2021 10:41:48
T:25.8°C -- T2:25.8°C -- HR:41.5 17/09/2021 10:41:53
T:25.8°C -- T2:25.8°C -- HR:41.2 17/09/2021 10:41:58
T:25.9°C -- T2:25.9°C -- HR:41.1 17/09/2021 10:42:03
T:25.9°C -- T2:25.9°C -- HR:40.8 17/09/2021 10:42:08
T:25.9°C -- T2:25.9°C -- HR:40.1 17/09/2021 10:42:13
T:25.8°C -- T2:25.8°C -- HR:40.0 17/09/2021 10:42:18
T:25.8°C -- T2:25.8°C -- HR:40.0 17/09/2021 10:42:23
T:25.7°C -- T2:25.7°C -- HR:39.9 17/09/2021 10:42:28
T:25.6°C -- T2:25.6°C -- HR:39.8 17/09/2021 10:42:33
T:25.6°C -- T2:25.6°C -- HR:39.6 17/09/2021 10:42:38
T:25.6°C -- T2:25.5°C -- HR:39.4 17/09/2021 10:42:43
T:25.6°C -- T2:25.5°C -- HR:39.6 17/09/2021 10:42:47
T:25.7°C -- T2:25.5°C -- HR:39.7 17/09/2021 10:42:53
T:25.8°C -- T2:25.5°C -- HR:39.6 17/09/2021 10:42:58
T:26.0°C -- T2:25.4°C -- HR:40.2 17/09/2021 10:43:03
T:26.2°C -- T2:25.4°C -- HR:40.5 17/09/2021 10:43:08
T:26.5°C -- T2:25.4°C -- HR:40.9 17/09/2021 10:43:13
T:26.8°C -- T2:25.5°C -- HR:40.6 17/09/2021 10:43:18
T:27.0°C -- T2:25.5°C -- HR:39.7 17/09/2021 10:43:23
T:27.1°C -- T2:25.5°C -- HR:39.4 17/09/2021 10:43:28
T:27.2°C -- T2:25.6°C -- HR:38.9 17/09/2021 10:43:33
T:27.3°C -- T2:25.7°C -- HR:38.8 17/09/2021 10:43:38
T:27.2°C -- T2:25.8°C -- HR:38.6 17/09/2021 10:43:43
T:27.2°C -- T2:25.9°C -- HR:38.5 17/09/2021 10:43:47
T:27.1°C -- T2:26.0°C -- HR:38.2 17/09/2021 10:43:53
T:27.1°C -- T2:26.2°C -- HR:38.2 17/09/2021 10:43:58
T:27.0°C -- T2:26.3°C -- HR:38.0 17/09/2021 10:44:03
T:27.0°C -- T2:26.4°C -- HR:37.8 17/09/2021 10:44:08
T:27.0°C -- T2:26.5°C -- HR:37.6 17/09/2021 10:44:13
T:27.0°C -- T2:26.6°C -- HR:37.5 17/09/2021 10:44:18
T:27.1°C -- T2:26.6°C -- HR:37.3 17/09/2021 10:44:23
T:27.1°C -- T2:26.7°C -- HR:37.5 17/09/2021 10:44:28
T:27.1°C -- T2:26.8°C -- HR:37.4 17/09/2021 10:44:33
T:27.0°C -- T2:26.9°C -- HR:37.5 17/09/2021 10:44:38
T:27.0°C -- T2:26.9°C -- HR:37.3 17/09/2021 10:44:43
T:27.0°C -- T2:26.9°C -- HR:37.6 17/09/2021 10:44:48
T:27.0°C -- T2:27.0°C -- HR:37.4 17/09/2021 10:44:53
T:27.0°C -- T2:27.0°C -- HR:37.3 17/09/2021 10:44:58
T:27.1°C -- T2:27.0°C -- HR:37.6 17/09/2021 10:45:03
T:27.1°C -- T2:27.0°C -- HR:37.4 17/09/2021 10:45:08
T:27.1°C -- T2:27.0°C -- HR:37.2 17/09/2021 10:45:13
T:27.2°C -- T2:27.1°C -- HR:37.2 17/09/2021 10:45:18
T:27.2°C -- T2:27.1°C -- HR:37.2 17/09/2021 10:45:23
T:27.2°C -- T2:27.2°C -- HR:37.0 17/09/2021 10:45:28
T:27.2°C -- T2:27.2°C -- HR:37.0 17/09/2021 10:45:33
T:27.2°C -- T2:27.2°C -- HR:36.8 17/09/2021 10:45:38
T:27.3°C -- T2:27.2°C -- HR:36.7 17/09/2021 10:45:43
T:27.3°C -- T2:27.3°C -- HR:36.7 17/09/2021 10:45:47
T:27.3°C -- T2:27.3°C -- HR:36.8 17/09/2021 10:45:53
T:27.3°C -- T2:27.3°C -- HR:36.8 17/09/2021 10:45:58
T:27.4°C -- T2:27.3°C -- HR:36.8 17/09/2021 10:46:03
T:27.4°C -- T2:27.4°C -- HR:36.8 17/09/2021 10:46:08
T:27.4°C -- T2:27.4°C -- HR:36.7 17/09/2021 10:46:13
T:27.3°C -- T2:27.3°C -- HR:36.5 17/09/2021 10:46:18
T:27.2°C -- T2:27.2°C -- HR:36.5 17/09/2021 10:46:23
T:27.2°C -- T2:27.1°C -- HR:36.6 17/09/2021 10:46:27
T:27.0°C -- T2:27.0°C -- HR:36.7 17/09/2021 10:46:33
T:26.9°C -- T2:26.9°C -- HR:36.5 17/09/2021 10:46:38
T:26.8°C -- T2:26.8°C -- HR:36.3 17/09/2021 10:46:43
T:26.7°C -- T2:26.6°C -- HR:36.2 17/09/2021 10:46:48
T:26.6°C -- T2:26.5°C -- HR:36.4 17/09/2021 10:46:53
T:26.5°C -- T2:26.5°C -- HR:36.3 17/09/2021 10:46:58
T:26.5°C -- T2:26.4°C -- HR:36.1 17/09/2021 10:47:03
T:26.4°C -- T2:26.4°C -- HR:36.2 17/09/2021 10:47:07
T:26.4°C -- T2:26.4°C -- HR:36.3 17/09/2021 10:47:13
T:26.4°C -- T2:26.4°C -- HR:36.2 17/09/2021 10:47:18
T:26.4°C -- T2:26.4°C -- HR:36.2 17/09/2021 10:47:23
T:26.4°C -- T2:26.4°C -- HR:36.0 17/09/2021 10:47:27
T:26.4°C -- T2:26.4°C -- HR:36.1 17/09/2021 10:47:33
T:26.5°C -- T2:26.5°C -- HR:35.9 17/09/2021 10:47:38
T:26.5°C -- T2:26.5°C -- HR:35.9 17/09/2021 10:47:43
T:26.5°C -- T2:26.5°C -- HR:36.1 17/09/2021 10:47:48
T:26.6°C -- T2:26.6°C -- HR:35.9 17/09/2021 10:47:53
T:26.6°C -- T2:26.6°C -- HR:35.5 17/09/2021 10:47:58
T:26.7°C -- T2:26.6°C -- HR:35.5 17/09/2021 10:48:03
T:26.7°C -- T2:26.7°C -- HR:35.8 17/09/2021 10:48:07
T:26.7°C -- T2:26.7°C -- HR:35.9 17/09/2021 10:48:13
T:26.8°C -- T2:26.8°C -- HR:35.5 17/09/2021 10:48:17
T:26.8°C -- T2:26.8°C -- HR:35.5 17/09/2021 10:48:23
T:26.9°C -- T2:26.9°C -- HR:35.6 17/09/2021 10:48:28
T:26.9°C -- T2:26.9°C -- HR:35.5 17/09/2021 10:48:33
T:27.0°C -- T2:27.0°C -- HR:35.4 17/09/2021 10:48:38
T:27.0°C -- T2:27.0°C -- HR:35.1 17/09/2021 10:48:43
T:27.1°C -- T2:27.1°C -- HR:35.2 17/09/2021 10:48:48
T:27.1°C -- T2:27.1°C -- HR:35.2 17/09/2021 10:48:53
T:27.2°C -- T2:27.2°C -- HR:35.1 17/09/2021 10:48:58
T:27.2°C -- T2:27.2°C -- HR:35.2 17/09/2021 10:49:03
T:27.3°C -- T2:27.3°C -- HR:34.9 17/09/2021 10:49:08
T:27.4°C -- T2:27.4°C -- HR:34.9 17/09/2021 10:49:13
T:27.4°C -- T2:27.4°C -- HR:35.0 17/09/2021 10:49:17
T:27.5°C -- T2:27.5°C -- HR:34.9 17/09/2021 10:49:23
T:27.5°C -- T2:27.5°C -- HR:34.7 17/09/2021 10:49:28
T:27.6°C -- T2:27.6°C -- HR:34.5 17/09/2021 10:49:33
T:27.7°C -- T2:27.7°C -- HR:34.5 17/09/2021 10:49:38
T:27.7°C -- T2:27.7°C -- HR:34.3 17/09/2021 10:49:43
T:27.8°C -- T2:27.8°C -- HR:34.5 17/09/2021 10:49:48
T:27.9°C -- T2:27.8°C -- HR:34.4 17/09/2021 10:49:53
T:27.9°C -- T2:27.9°C -- HR:34.4 17/09/2021 10:49:57
T:28.0°C -- T2:28.0°C -- HR:34.0 17/09/2021 10:50:03
T:28.0°C -- T2:28.0°C -- HR:33.9 17/09/2021 10:50:07
T:28.1°C -- T2:28.1°C -- HR:34.1 17/09/2021 10:50:13
T:28.2°C -- T2:28.2°C -- HR:34.1 17/09/2021 10:50:18
T:28.2°C -- T2:28.2°C -- HR:33.7 17/09/2021 10:50:23
T:28.3°C -- T2:28.3°C -- HR:33.6 17/09/2021 10:50:28
T:28.4°C -- T2:28.4°C -- HR:33.7 17/09/2021 10:50:33
T:28.5°C -- T2:28.5°C -- HR:33.7 17/09/2021 10:50:38
T:28.5°C -- T2:28.5°C -- HR:33.6 17/09/2021 10:50:43
T:28.6°C -- T2:28.6°C -- HR:33.2 17/09/2021 10:50:48
T:28.7°C -- T2:28.7°C -- HR:33.3 17/09/2021 10:50:53
T:28.8°C -- T2:28.8°C -- HR:33.4 17/09/2021 10:50:58
T:28.9°C -- T2:28.8°C -- HR:33.0 17/09/2021 10:51:03
T:28.9°C -- T2:28.9°C -- HR:32.9 17/09/2021 10:51:07
T:29.0°C -- T2:29.0°C -- HR:33.1 17/09/2021 10:51:13
T:29.1°C -- T2:29.1°C -- HR:32.8 17/09/2021 10:51:18
T:29.1°C -- T2:29.1°C -- HR:32.8 17/09/2021 10:51:23
T:29.2°C -- T2:29.2°C -- HR:32.7 17/09/2021 10:51:28
T:29.3°C -- T2:29.3°C -- HR:32.6 17/09/2021 10:51:33
T:29.4°C -- T2:29.3°C -- HR:32.4 17/09/2021 10:51:38
T:29.4°C -- T2:29.4°C -- HR:32.1 17/09/2021 10:51:43
T:29.5°C -- T2:29.5°C -- HR:32.2 17/09/2021 10:51:47
T:29.6°C -- T2:29.6°C -- HR:32.1 17/09/2021 10:51:53
T:29.6°C -- T2:29.6°C -- HR:32.1 17/09/2021 10:51:58
T:29.7°C -- T2:29.7°C -- HR:32.1 17/09/2021 10:52:03
T:29.8°C -- T2:29.8°C -- HR:31.9 17/09/2021 10:52:08
T:29.9°C -- T2:29.9°C -- HR:31.8 17/09/2021 10:52:13
T:30.0°C -- T2:29.9°C -- HR:31.7 17/09/2021 10:52:18
T:30.0°C -- T2:30.0°C -- HR:31.6 17/09/2021 10:52:23
T:30.1°C -- T2:30.1°C -- HR:31.5 17/09/2021 10:52:28
T:30.3°C -- T2:30.1°C -- HR:31.2 17/09/2021 10:52:33
T:30.4°C -- T2:30.2°C -- HR:31.2 17/09/2021 10:52:38
T:30.5°C -- T2:30.2°C -- HR:31.2 17/09/2021 10:52:43
T:30.6°C -- T2:30.2°C -- HR:31.3 17/09/2021 10:52:48
T:30.8°C -- T2:30.3°C -- HR:31.2 17/09/2021 10:52:53
T:30.8°C -- T2:30.4°C -- HR:31.1 17/09/2021 10:52:57
T:30.9°C -- T2:30.5°C -- HR:30.8 17/09/2021 10:53:03
T:30.9°C -- T2:30.6°C -- HR:30.6 17/09/2021 10:53:08
T:30.9°C -- T2:30.7°C -- HR:30.5 17/09/2021 10:53:13
T:31.0°C -- T2:30.8°C -- HR:30.9 17/09/2021 10:53:18
T:31.0°C -- T2:30.9°C -- HR:30.7 17/09/2021 10:53:23
T:31.0°C -- T2:31.0°C -- HR:30.3 17/09/2021 10:53:28
T:31.1°C -- T2:31.1°C -- HR:30.1 17/09/2021 10:53:33
T:31.1°C -- T2:31.1°C -- HR:30.1 17/09/2021 10:53:38
T:31.2°C -- T2:31.2°C -- HR:30.1 17/09/2021 10:53:43
T:31.3°C -- T2:31.3°C -- HR:29.6 17/09/2021 10:53:48
T:31.4°C -- T2:31.3°C -- HR:29.6 17/09/2021 10:53:53
T:31.4°C -- T2:31.4°C -- HR:29.7 17/09/2021 10:53:58
T:31.5°C -- T2:31.5°C -- HR:29.5 17/09/2021 10:54:03
T:31.6°C -- T2:31.6°C -- HR:29.4 17/09/2021 10:54:08
T:31.6°C -- T2:31.6°C -- HR:29.5 17/09/2021 10:54:13
T:31.7°C -- T2:31.7°C -- HR:29.5 17/09/2021 10:54:18
T:31.8°C -- T2:31.8°C -- HR:29.6 17/09/2021 10:54:23
T:31.9°C -- T2:31.9°C -- HR:29.3 17/09/2021 10:54:28
T:32.0°C -- T2:32.0°C -- HR:29.2 17/09/2021 10:54:33
T:32.0°C -- T2:32.0°C -- HR:29.0 17/09/2021 10:54:38
T:32.1°C -- T2:32.1°C -- HR:28.7 17/09/2021 10:54:43
T:32.2°C -- T2:32.2°C -- HR:28.8 17/09/2021 10:54:47
T:32.3°C -- T2:32.2°C -- HR:28.9 17/09/2021 10:54:53
T:32.3°C -- T2:32.3°C -- HR:28.6 17/09/2021 10:54:58
T:32.4°C -- T2:32.4°C -- HR:28.3 17/09/2021 10:55:03
T:32.5°C -- T2:32.4°C -- HR:28.3 17/09/2021 10:55:08
T:32.5°C -- T2:32.5°C -- HR:28.1 17/09/2021 10:55:13
T:32.6°C -- T2:32.6°C -- HR:28.3 17/09/2021 10:55:18
T:32.7°C -- T2:32.7°C -- HR:28.4 17/09/2021 10:55:23
T:32.7°C -- T2:32.7°C -- HR:27.9 17/09/2021 10:55:28
T:32.8°C -- T2:32.8°C -- HR:27.7 17/09/2021 10:55:33
T:32.9°C -- T2:32.9°C -- HR:27.6 17/09/2021 10:55:38
T:33.0°C -- T2:33.0°C -- HR:27.5 17/09/2021 10:55:43
T:33.0°C -- T2:33.0°C -- HR:27.7 17/09/2021 10:55:48
T:33.1°C -- T2:33.1°C -- HR:27.5 17/09/2021 10:55:53
T:33.2°C -- T2:33.2°C -- HR:27.5 17/09/2021 10:55:58
T:33.3°C -- T2:33.2°C -- HR:27.5 17/09/2021 10:56:03
T:33.3°C -- T2:33.3°C -- HR:27.2 17/09/2021 10:56:08
T:33.4°C -- T2:33.4°C -- HR:27.0 17/09/2021 10:56:13
T:33.5°C -- T2:33.4°C -- HR:27.1 17/09/2021 10:56:18
T:33.5°C -- T2:33.5°C -- HR:27.1 17/09/2021 10:56:23
T:33.6°C -- T2:33.6°C -- HR:26.7 17/09/2021 10:56:28
T:33.8°C -- T2:33.6°C -- HR:26.4 17/09/2021 10:56:33
T:33.9°C -- T2:33.7°C -- HR:26.6 17/09/2021 10:56:38
T:34.0°C -- T2:33.7°C -- HR:26.4 17/09/2021 10:56:43
T:34.1°C -- T2:33.8°C -- HR:26.5 17/09/2021 10:56:48
T:34.1°C -- T2:33.9°C -- HR:26.6 17/09/2021 10:56:53
T:34.2°C -- T2:33.9°C -- HR:26.6 17/09/2021 10:56:58
T:34.2°C -- T2:34.0°C -- HR:26.2 17/09/2021 10:57:03
T:34.3°C -- T2:34.1°C -- HR:25.9 17/09/2021 10:57:08
T:34.3°C -- T2:34.2°C -- HR:25.9 17/09/2021 10:57:13
T:34.3°C -- T2:34.3°C -- HR:25.8 17/09/2021 10:57:18
T:34.4°C -- T2:34.3°C -- HR:25.8 17/09/2021 10:57:23
T:34.4°C -- T2:34.4°C -- HR:25.6 17/09/2021 10:57:28
T:34.5°C -- T2:34.5°C -- HR:25.5 17/09/2021 10:57:33
T:34.5°C -- T2:34.5°C -- HR:25.5 17/09/2021 10:57:38
T:34.6°C -- T2:34.6°C -- HR:25.3 17/09/2021 10:57:43
T:34.7°C -- T2:34.7°C -- HR:25.4 17/09/2021 10:57:48
T:34.7°C -- T2:34.7°C -- HR:25.1 17/09/2021 10:57:53
T:34.8°C -- T2:34.8°C -- HR:25.0 17/09/2021 10:57:58
T:34.8°C -- T2:34.8°C -- HR:25.1 17/09/2021 10:58:03
T:34.9°C -- T2:34.9°C -- HR:24.9 17/09/2021 10:58:08
T:35.0°C -- T2:35.0°C -- HR:24.9 17/09/2021 10:58:13
T:35.0°C -- T2:35.0°C -- HR:24.8 17/09/2021 10:58:18
T:35.1°C -- T2:35.1°C -- HR:24.6 17/09/2021 10:58:23
T:35.2°C -- T2:35.2°C -- HR:24.6 17/09/2021 10:58:28
T:35.2°C -- T2:35.2°C -- HR:24.5 17/09/2021 10:58:33
T:35.3°C -- T2:35.3°C -- HR:24.5 17/09/2021 10:58:38
T:35.4°C -- T2:35.4°C -- HR:24.4 17/09/2021 10:58:43
T:35.4°C -- T2:35.4°C -- HR:24.2 17/09/2021 10:58:48
T:35.5°C -- T2:35.5°C -- HR:24.1 17/09/2021 10:58:53
T:35.6°C -- T2:35.6°C -- HR:24.1 17/09/2021 10:58:58
T:35.6°C -- T2:35.6°C -- HR:23.9 17/09/2021 10:59:03
T:35.7°C -- T2:35.7°C -- HR:24.0 17/09/2021 10:59:08
T:35.7°C -- T2:35.7°C -- HR:24.1 17/09/2021 10:59:13
T:35.8°C -- T2:35.8°C -- HR:24.0 17/09/2021 10:59:18
T:35.8°C -- T2:35.8°C -- HR:24.0 17/09/2021 10:59:23
T:35.9°C -- T2:35.9°C -- HR:23.6 17/09/2021 10:59:28
T:36.0°C -- T2:36.0°C -- HR:23.4 17/09/2021 10:59:33
T:36.0°C -- T2:36.0°C -- HR:23.4 17/09/2021 10:59:38
T:36.1°C -- T2:36.1°C -- HR:23.7 17/09/2021 10:59:43
T:36.2°C -- T2:36.1°C -- HR:23.5 17/09/2021 10:59:48
