:16:08
T:19.2°C -- T2:17.5°C -- HR:58.7 08/09/2021 09T:19.0°C -- T2:17.9°C -- HR:68.5 08/09/2021 09:17:11
T:19.1°C -- T2:18.1°C -- HR:85.0 08/09/2021 09:17:32
T:19.8°C -- T2:18.8°C -- HR:91.3 08/09/2021 09:17:52
T:20.5°C -- T2:19.8°C -- HR:93.1 08/09/2021 09:18:14
T:21.1°C -- T2:21.0°C -- HR:93.2 08/09/2021 09:18:35
T:21.8°C -- T2:22.1°C -- HR:91.5 08/09/2021 09:18:56
T:22.6°C -- T2:23.1°C -- HR:88.6 08/09/2021 09:19:17
T:23.3°C -- T2:24.1°C -- HR:85.5 08/09/2021 09:19:38
T:23.9°C -- T2:25.0°C -- HR:82.1 08/09/2021 09:19:59
T:24.6°C -- T2:25.9°C -- HR:78.5 08/09/2021 09:20:20
T:25.2°C -- T2:26.7°C -- HR:74.7 08/09/2021 09:20:41
T:25.9°C -- T2:27.4°C -- HR:70.9 08/09/2021 09:21:02
T:26.4°C -- T2:27.7°C -- HR:71.6 08/09/2021 09:21:23
T:26.8°C -- T2:28.1°C -- HR:73.4 08/09/2021 09:21:44
T:27.3°C -- T2:29.1°C -- HR:70.3 08/09/2021 09:22:05
T:27.7°C -- T2:29.1°C -- HR:71.9 08/09/2021 09:22:26
T:28.1°C -- T2:29.4°C -- HR:73.2 08/09/2021 09:22:47
T:28.6°C -- T2:30.1°C -- HR:71.1 08/09/2021 09:23:08
T:28.9°C -- T2:30.2°C -- HR:71.9 08/09/2021 09:23:29
T:29.1°C -- T2:30.3°C -- HR:72.3 08/09/2021 09:23:50
T:29.5°C -- T2:30.7°C -- HR:70.4 08/09/2021 09:24:11
T:29.7°C -- T2:30.3°C -- HR:72.4 08/09/2021 09:24:32
T:29.8°C -- T2:30.1°C -- HR:74.2 08/09/2021 09:24:53
T:29.9°C -- T2:30.2°C -- HR:73.7 08/09/2021 09:25:14
T:30.1°C -- T2:30.7°C -- HR:70.8 08/09/2021 09:25:35
T:30.1°C -- T2:30.3°C -- HR:72.0 08/09/2021 09:25:56
T:30.1°C -- T2:30.0°C -- HR:72.8 08/09/2021 09:26:17
T:30.3°C -- T2:30.1°C -- HR:70.8 08/09/2021 09:26:38
T:30.3°C -- T2:29.5°C -- HR:72.7 08/09/2021 09:26:59
T:30.3°C -- T2:29.3°C -- HR:72.3 08/09/2021 09:27:20
T:30.3°C -- T2:29.3°C -- HR:71.3 08/09/2021 09:27:41
T:30.0°C -- T2:29.0°C -- HR:73.8 08/09/2021 09:28:02
T:29.9°C -- T2:28.9°C -- HR:72.8 08/09/2021 09:28:23
T:30.0°C -- T2:29.0°C -- HR:71.0 08/09/2021 09:28:44
T:29.7°C -- T2:28.7°C -- HR:73.4 08/09/2021 09:29:05
T:29.5°C -- T2:28.5°C -- HR:73.3 08/09/2021 09:29:26
T:29.6°C -- T2:28.6°C -- HR:71.1 08/09/2021 09:29:47
T:29.5°C -- T2:28.3°C -- HR:72.7 08/09/2021 09:30:08
T:29.3°C -- T2:28.0°C -- HR:73.9 08/09/2021 09:30:29
T:29.3°C -- T2:28.3°C -- HR:71.7 08/09/2021 09:30:50
T:29.4°C -- T2:28.3°C -- HR:72.2 08/09/2021 09:31:11
T:29.3°C -- T2:27.9°C -- HR:75.4 08/09/2021 09:31:32
