Time - Temeperatura (°C)	Temperatura (°C) & Humedad (%) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Humedad (%) - Presión (kPa)	Time - Plot 2	Temperatura (°C) & Humedad (%) - Plot 2
0	27,2	0	26,3	0	63,7
1	27,4	1	26,3	1	63,3
2	27,4	2	26,3	2	63,3
3	27,4	3	26,3	3	63,2
4	27,4	4	26,3	4	63,2
5	27,4	5	26,3	5	63,2
6	27,4	6	26,3	6	63,2
7	27,4	7	26,3	7	63,2
8	27,4	8	26,3	8	63,2
9	27,4	9	26,3	9	63,1
10	27,4	10	26,3	10	63,1
11	27,4	11	26,3	11	63,1
12	27,4	12	26,3	12	63,1
13	27,4	13	26,3	13	63,1
14	27,5	14	26,3	14	63,1
15	27,5	15	26,3	15	63
16	27,5	16	26,3	16	63
17	27,5	17	26,3	17	63
18	27,5	18	26,3	18	63
19	27,5	19	26,3	19	63
20	27,5	20	26,3	20	63
21	27,5	21	26,3	21	62,9
22	27,5	22	26,3	22	62,9
23	27,5	23	26,3	23	62,9
24	27,5	24	26,3	24	62,9
25	27,5	25	26,3	25	62,9
26	27,5	26	26,3	26	62,9
27	27,6	27	26,3	27	62,9
28	27,6	28	26,3	28	62,8
29	27,6	29	26,3	29	62,9
30	27,6	30	26,3	30	62,8
31	27,6	31	26,3	31	62,8
32	27,6	32	26,3	32	62,8
33	27,6	33	26,3	33	62,8
34	27,6	34	26,3	34	62,8
35	27,6	35	26,3	35	62,8
36	27,6	36	26,3	36	62,7
37	27,7	37	26,3	37	62,7
38	27,7	38	26,3	38	62,7
39	27,7	39	26,3	39	62,7
40	27,7	40	26,3	40	62,6
41	27,7	41	26,3	41	62,6
42	27,7	42	26,3	42	62,6
43	27,7	43	26,3	43	62,5
44	27,7	44	26,3	44	62,5
45	27,7	45	26,3	45	62,5
46	27,7	46	26,3	46	62,5
47	27,8	47	26,3	47	62,5
48	27,8	48	26,3	48	62,5
49	27,8	49	26,3	49	62,4
50	27,8	50	26,3	50	62,4
51	27,8	51	26,3	51	62,4
52	27,8	52	26,3	52	62,3
53	27,8	53	26,3	53	62,3
54	27,8	54	26,3	54	62,3
55	27,8	55	26,3	55	62,3
